address,description,phone,price,title
"Plot P0097 at Royal Exchange, Royal Exchange, 4 Ashdown Road KT1","A brand new development by St George, in the heart of historic Kingston upon Thames. High specification 1, 2 and 3 bedroom apartments...",020 8115 0039,"£760,000 ","2 bedroom apartment for sale, - "
"Klea Avenue, Abbeville Village, London","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021,"£799,950 ,Guide price","2 bedroom maisonette for sale, - "
"Kingston Hill Place, Kingston","A stylish, immaculately presented 4 bedroom mews house located in the prestigious Kingston Hill Place development. The bright spacious accomodation is arranged over four floors and offers excellent family living space. The property benefits from landscaped communal grounds and a leisure complex.",020 8115 1011,"£1,100,000 ","4 bedroom terraced house for sale, - "
"Marsden House, Pegler Square, Kidbrooke Village, London SE3","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£445,000 ","1 bedroom flat for sale, - "
"The Lexington, NW11","Luxury second floor apartment in the recently-built Lexington development, which is situated on the corner of Finchley Road and Llanvanor Road within 5 minutes of the amenities of Golders Green and within walking distance of Hampstead Heath. This stunning second floor apartment of some 996 square...",020 8115 1539,"£900,000 ,Offers in excess of","2 bedroom apartment for sale, - "
"Hungerford Road, London, N7",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£425,000 ,Offers in excess of","1 bedroom flat for sale, - "
"New Providence Wharf, 1 Fairmont Ave, Blackwall,, London E14","Elite Land is proud to present this amazing 2 bedroom Riverside Apartment with spectacular views. On the 15th floor of the highly sought after New Providence Wharf, the apartment comprises an open plan kitchen living area, two double bedrooms with built in wardrobes, a main bathroom and ensuite....",020 8022 7347,"£685,000 ","2 bedroom flat for sale, - "
"Avenue Road, St John's Wood, London, NW8",PROPERTY VIDEO AVAILABLEA rare opportunity to purchase a 0.295 of an acre freehold plot on the west side of one of London’s most prestigious residential addresses.Detailed planning consent has been obtained from Camden Council for both  a traditional mansion and a contemporary detached residence...,020 8115 0944,"£14,500,000 ","6 bedroom detached house for sale, - "
Merriman Road London SE3,John Payne are delighted to welcome to the market this charming five bedroom semi-detached house.,01322 584768,"£725,000 ","5 bedroom semi-detached house for sale, - "
"Ripon Road, Shooters Hill, London, SE18","An exceptional newly-refurbished duplex maisonette apartment, presented in a meticulously stylish design throughout.  The property offers 1,000 sq. ft. of bright and spacious accommodation, comprising of a brand new dine-in kitchen, reception/ living room, two bedrooms, two bathrooms with a...",020 8022 7100,"£425,000 ","3 bedroom terraced house for sale, - "
"Chase Side, Enfield","Attractive 2 bedroom Victorian terraced house in need of some modernisation,  The property does have the benefit of gas central heating and double glazing. OFFERED FOR SALE IN A CHAIN FREE POSITION. EARLY VIEWING HIGHLY RECOMMENDED.",020 3544 8034,"£220,000 ","1 bedroom flat for sale, - "
"St. Margarets Road, Twickenham, TW1","3 bedroom period flat with off street parking and private garden, TW1.  Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you.  These include video walkthroughs, 360 virtual...",020 8033 5519,"£895,000 ,Guide price","3 bedroom flat for sale, - "
"Dryden Avenue, Hanwell, London, W7 1ES","A brand new development by St George, in the heart of historic Kingston upon Thames. High specification 1, 2 and 3 bedroom apartments...",020 8115 0039,"£425,000 ","3 bedroom flat for sale, - "
"Vaughan House, Clapham, London","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021,"£385,000 ,Guide price","2 bedroom flat for sale, - "
"Benfleet Close, Sutton","A stylish, immaculately presented 4 bedroom mews house located in the prestigious Kingston Hill Place development. The bright spacious accomodation is arranged over four floors and offers excellent family living space. The property benefits from landscaped communal grounds and a leisure complex.",020 8115 1011,"£625,000 ,Guide price","4 bedroom semi-detached house for sale, - "
"Gell Close, Uxbridge","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£360,000 ","2 bedroom semi-detached house for sale, - "
"Milton Avenue, East Ham , London, E6","Luxury second floor apartment in the recently-built Lexington development, which is situated on the corner of Finchley Road and Llanvanor Road within 5 minutes of the amenities of Golders Green and within walking distance of Hampstead Heath. This stunning second floor apartment of some 996 square...",020 8115 1539,"£290,000 ,Guide price","2 bedroom flat for sale, - "
"Anson Road, London, N7",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£650,000 ,Offers in excess of","2 bedroom flat for sale, - "
"Hillgate Place, London, W8","Elite Land is proud to present this amazing 2 bedroom Riverside Apartment with spectacular views. On the 15th floor of the highly sought after New Providence Wharf, the apartment comprises an open plan kitchen living area, two double bedrooms with built in wardrobes, a main bathroom and ensuite....",020 8022 7347,"£3,075,000 ,Guide price","3 bedroom end of terrace house for sale, - "
"Conifer Way, WEMBLEY",PROPERTY VIDEO AVAILABLEA rare opportunity to purchase a 0.295 of an acre freehold plot on the west side of one of London’s most prestigious residential addresses.Detailed planning consent has been obtained from Camden Council for both  a traditional mansion and a contemporary detached residence...,020 8115 0944,"£240,000 ,Guide price","1 bedroom flat for sale, - "
"Meadow Walk, London, E18","*NEW BUILD PROPERTY* Newly available to the market is this wonderful  bespoke executive semi-detached property. The house is arranged over three floors and offers a large reception room, guest W.C. (contd...)",01322 584819,"£1,250,000 ","4 bedroom semi-detached house for sale, - "
"Greenaway Gardens, Hampstead, London, NW3",VIRTUAL TOUR & PROPERTY VIDEO AVAILABLEAn extremely rare opportunity to purchase an exceptional residence which has been in the same family ownership for 56 years.The house is prominently situated on one of Hampstead's most sought after streets and benefits from an exceptional plot 0.77 of an...,020 8033 2639,"£15,000,000 ,Guide price","8 bedroom detached house for sale, - "
"Plot 1.8.10 at Oval Village, Oval Village, Kennington Lane SE11","Introducing Oval Village, a brand new collection of studio, one, two and three-bedroom apartments ideally located...",020 3641 1268,"£575,000 ","Studio for sale, - "
"Parkhurst Road, Bexley",John Payne are delighted to welcome to the market this charming five bedroom semi-detached house.,01322 584768,"£1,125,000 ,Guide price","4 bedroom detached house for sale, - "
"West Heath Road, Hampstead, London, NW3","An exceptional six bedroom contemporary detached residence forming part of a luxury gated development  An exceptional contemporary detached residence, forming part of a luxury development situated in one of Hampstead's most desirable locations close to Hampstead Heath. You enter the development...",020 8022 0021,"£6,950,000 ,Guide price","6 bedroom detached house for sale, - "
"Cranley Gardens, London, SW7","A very well presented one bedroom flat in a Victorian conversion building  There is a double bedroom with fitted storage, semi open plan kitchen/reception, bathroom and west-facing roof terrace.  Cranley Gardens is a prime address located moments from the shops, restaurants and amenities of both...",020 8115 0721,"£649,950 ","1 bedroom flat for sale, - "
"Plot 8.1.6 at Royal Warwick Square, Royal Warwick Square W14","Discover classical London living at Royal Warwick Square, with a prestigious collection of 1,2 & 3 bedroom apartments and penthouses...",020 3641 4833,"£1,555,000 ","2 bedroom apartment for sale, - "
"Douglas Road, Surbiton","An exceptional newly-refurbished duplex maisonette apartment, presented in a meticulously stylish design throughout.  The property offers 1,000 sq. ft. of bright and spacious accommodation, comprising of a brand new dine-in kitchen, reception/ living room, two bedrooms, two bathrooms with a...",020 8022 7100,"£675,000 ,Guide price","3 bedroom semi-detached house for sale, - "
"Great Cambridge Road, Enfield","Attractive 2 bedroom Victorian terraced house in need of some modernisation,  The property does have the benefit of gas central heating and double glazing. OFFERED FOR SALE IN A CHAIN FREE POSITION. EARLY VIEWING HIGHLY RECOMMENDED.",020 3544 8034,"£495,000 ","4 bedroom terraced house for sale, - "
"Plot 60 Hale Works at Hale Works, Anthology Hale Works, Emily Bowes Court, Hale Village N17",*COMING SOON*A stylish and contemporary 1 bedroom apartment spread across approximately 612 sq ft of open-plan living space with lovely East facing views of the Walthamstow Wetlands and the City of London.,020 8033 9914," ,Price on application","1 bedroom apartment for sale, - "
"Gordon Avenue, St Margarets","3 bedroom period flat with off street parking and private garden, TW1.  Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you.  These include video walkthroughs, 360 virtual...",020 8033 5519,"£1,075,000 ,Guide price","4 bedroom terraced house for sale, - "
"Ormiston Grove, Shepherds Bush, London, W12 0JP","A brand new development by St George, in the heart of historic Kingston upon Thames. High specification 1, 2 and 3 bedroom apartments...",020 8115 0039,"£475,000 ","2 bedroom flat for sale, - "
"Otter Drive, Carshalton, Surrey","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021,"£300,000 ,Guide price","2 bedroom flat for sale, - "
"Woodmansterne Road, Carshalton Beeches","A stylish, immaculately presented 4 bedroom mews house located in the prestigious Kingston Hill Place development. The bright spacious accomodation is arranged over four floors and offers excellent family living space. The property benefits from landscaped communal grounds and a leisure complex.",020 8115 1011,"£875,000 ","5 bedroom detached house for sale, - "
"Denver Road, London","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£450,000 ,Guide price","1 bedroom apartment for sale, - "
"Faircross Avenue, Barking, IG11","Luxury second floor apartment in the recently-built Lexington development, which is situated on the corner of Finchley Road and Llanvanor Road within 5 minutes of the amenities of Golders Green and within walking distance of Hampstead Heath. This stunning second floor apartment of some 996 square...",020 8115 1539,"£400,000 ","3 bedroom terraced house for sale, - "
"Hill House Road, London, SW16",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£450,000 ","2 bedroom flat for sale, - "
"Plot 447, Thimble Crescent at New Mill Quarter, Hackbridge Road, Wallington SM6","This 3-BEDROOM HOUSE on Thimble Crescent features an OPEN PLAN LIVING/DINING AREA and kitchen on the ground floor. The main living room is situated on the first floor, with direct access to a PRIVATE TERRACE as well as a double bedroom. The MAIN BEDROOM FEATURES AN EN SUITE and is located on the...",020 8115 0994,"£629,995 ","3 bedroom end of terrace house for sale, - "
"Baxendale Street, Shoreditch, London, E2","Elite Land is proud to present this amazing 2 bedroom Riverside Apartment with spectacular views. On the 15th floor of the highly sought after New Providence Wharf, the apartment comprises an open plan kitchen living area, two double bedrooms with built in wardrobes, a main bathroom and ensuite....",020 8022 7347,"£950,000 ,Guide price","2 bedroom terraced house for sale, - "
"Crescent Road, Warley, Brentwood, CM14",PROPERTY VIDEO AVAILABLEA rare opportunity to purchase a 0.295 of an acre freehold plot on the west side of one of London’s most prestigious residential addresses.Detailed planning consent has been obtained from Camden Council for both  a traditional mansion and a contemporary detached residence...,020 8115 0944,"£450,000 ","3 bedroom terraced house for sale, - "
"Parkside Avenue, Bexleyheath","*NEW BUILD PROPERTY* Newly available to the market is this wonderful  bespoke executive semi-detached property. The house is arranged over three floors and offers a large reception room, guest W.C. (contd...)",01322 584819,"£300,000 ,Offers over","2 bedroom house for sale, - "
"Larch Close, London, SW12",VIRTUAL TOUR & PROPERTY VIDEO AVAILABLEAn extremely rare opportunity to purchase an exceptional residence which has been in the same family ownership for 56 years.The house is prominently situated on one of Hampstead's most sought after streets and benefits from an exceptional plot 0.77 of an...,020 8033 2639,"£450,000 ","2 bedroom apartment for sale, - "
"Walton Road, East Molesey","Introducing Oval Village, a brand new collection of studio, one, two and three-bedroom apartments ideally located...",020 3641 1268,"£800,000 ","5 bedroom semi-detached house for sale, - "
"Red Lodge Road, Bexley",John Payne are delighted to welcome to the market this charming five bedroom semi-detached house.,01322 584768,"£415,000 ,Guide price","2 bedroom semi-detached house for sale, - "
250 City Road EC1V,"An exceptional six bedroom contemporary detached residence forming part of a luxury gated development  An exceptional contemporary detached residence, forming part of a luxury development situated in one of Hampstead's most desirable locations close to Hampstead Heath. You enter the development...",020 8022 0021,"£988,000 ","1 bedroom flat for sale, - "
"Brentmead Gardens, Park Royal, Greater London. NW10","A very well presented one bedroom flat in a Victorian conversion building  There is a double bedroom with fitted storage, semi open plan kitchen/reception, bathroom and west-facing roof terrace.  Cranley Gardens is a prime address located moments from the shops, restaurants and amenities of both...",020 8115 0721,"£650,000 ","4 bedroom terraced house for sale, - "
"Coombe Lane West, Kingston upon Thames","Discover classical London living at Royal Warwick Square, with a prestigious collection of 1,2 & 3 bedroom apartments and penthouses...",020 3641 4833,"£2,200,000 ,Offers in excess of","4 bedroom detached house for sale, - "
"Whitmore Gardens, Kensal Rise, London","An exceptional newly-refurbished duplex maisonette apartment, presented in a meticulously stylish design throughout.  The property offers 1,000 sq. ft. of bright and spacious accommodation, comprising of a brand new dine-in kitchen, reception/ living room, two bedrooms, two bathrooms with a...",020 8022 7100,"£1,050,000 ,Guide price","3 bedroom house for sale, - "
"Carter Close, Collier Row,  Romford","Attractive 2 bedroom Victorian terraced house in need of some modernisation,  The property does have the benefit of gas central heating and double glazing. OFFERED FOR SALE IN A CHAIN FREE POSITION. EARLY VIEWING HIGHLY RECOMMENDED.",020 3544 8034,"£475,000 ,Guide price","4 bedroom semi-detached house for sale, - "
"Rodney Gardens, Pinner, Middlesex, HA5",*COMING SOON*A stylish and contemporary 1 bedroom apartment spread across approximately 612 sq ft of open-plan living space with lovely East facing views of the Walthamstow Wetlands and the City of London.,020 8033 9914,"£775,000 ,Guide price","3 bedroom bungalow for sale, - "
"The Mews, St Margarets","3 bedroom period flat with off street parking and private garden, TW1.  Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you.  These include video walkthroughs, 360 virtual...",020 8033 5519,"£650,000 ,Offers in excess of","3 bedroom terraced house for sale, - "
"Godolphin Road, Shepherd's Bush, London, W12 8JE","A brand new development by St George, in the heart of historic Kingston upon Thames. High specification 1, 2 and 3 bedroom apartments...",020 8115 0039,"£485,000 ","2 bedroom flat for sale, - "
"Kemnal Road, Chislehurst, BR7","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021,"£400,000 ,Offers in excess of","2 bedroom flat for sale, - "
"Neville Road, Kingston upon Thames, Surrey, KT1","A stylish, immaculately presented 4 bedroom mews house located in the prestigious Kingston Hill Place development. The bright spacious accomodation is arranged over four floors and offers excellent family living space. The property benefits from landscaped communal grounds and a leisure complex.",020 8115 1011,"£799,995 ,Guide price","3 bedroom semi-detached house for sale, - "
"Spencer Road, Harrow, Greater London","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6866,"£599,950 ,Guide price","4 bedroom end of terrace house for sale, - "
"Plot 365, Hanworth Apartments at High Street Quarter, Alexandra Road, Hounslow, HOUNSLOW TW3","This second floor, one-bedroom apartment features an open plan living/dining area with access to a south facing balcony, overlooking the main piazza. The kitchen comes with fully integrated appliances and matching worktops. Further benefits a large storage cupboard.  High Street Quarter Hounslow...",020 8022 6875,"£367,000 ","1 bedroom apartment for sale, - "
"Plot 134, The Symphony at Blackwall Reach, Royal Captain Court, 26 Arniston Way, Poplar, London E14","We’ve unveiled two new furnished penthouses. Take a virtual tour on our website today to experience what Blackwall Reach has to offer.Stamp duty incentives available. Please get in touch for more details.The Penthouse Collection gives you stunning, open-plan luxury living and views of London that...",020 8022 0708,"£740,000 ","2 bedroom penthouse for sale, - "
Ormiston Road London SE10,"VIRTUAL VIEWING AVAILABLE

Extremely spacious, three bedroom, Victorian family home arranged over three floors and welcomed to the market in beautiful order throughout.


Energy Efficiency Rating D.",020 8033 0230,"£875,000 ","3 bedroom terraced house for sale, - "
"Hurley Court,  High Road, London",Luxury three bedroom apartment in the region of 1150 sq ft ideally located for local amenities and transport links.,020 8033 5491,"£700,000 ","3 bedroom apartment for sale, - "
"Grayling Road, London","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£1,300,000 ,Guide price","3 bedroom terraced house for sale, - "
"Spacious 4 Bedroom Terraced House for sale in Garrick Road,Greenford London","Property Point is delighted to present this stunning 4-bedroom terraced house for sale Located in Garrick Road, Greenford UB6.",020 8022 6072,"£599,999 ","4 bedroom terraced house for sale, - "
"Armytage Road, Hounslow, TW5","Luxury second floor apartment in the recently-built Lexington development, which is situated on the corner of Finchley Road and Llanvanor Road within 5 minutes of the amenities of Golders Green and within walking distance of Hampstead Heath. This stunning second floor apartment of some 996 square...",020 8115 1539,"£624,950 ,Guide price","4 bedroom semi-detached house for sale, - "
"Arnos Grove, N11",Greengate Residential Ltd are proud to offer for sale this exclusivle  two bedroom ground floor maisonette rarely available in this sought after gated development.,020 8033 2462,"£399,950 ","2 bedroom flat for sale, - "
"Gaumont Place, London, SW2",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£399,950 ","1 bedroom flat for sale, - "
"Pinnacle Apartments, Saffron Square, Croydon CR0","This 3-BEDROOM HOUSE on Thimble Crescent features an OPEN PLAN LIVING/DINING AREA and kitchen on the ground floor. The main living room is situated on the first floor, with direct access to a PRIVATE TERRACE as well as a double bedroom. The MAIN BEDROOM FEATURES AN EN SUITE and is located on the...",020 8115 0994,"£375,000 ","1 bedroom apartment for sale, - "
"City Road, Shoreditch, London, EC1V","Elite Land is proud to present this amazing 2 bedroom Riverside Apartment with spectacular views. On the 15th floor of the highly sought after New Providence Wharf, the apartment comprises an open plan kitchen living area, two double bedrooms with built in wardrobes, a main bathroom and ensuite....",020 8022 7347,"£1,000,000 ,Offers in excess of","2 bedroom flat for sale, - "
"Lynton Road, HARROW, HA2",PROPERTY VIDEO AVAILABLEA rare opportunity to purchase a 0.295 of an acre freehold plot on the west side of one of London’s most prestigious residential addresses.Detailed planning consent has been obtained from Camden Council for both  a traditional mansion and a contemporary detached residence...,020 8115 0944,"£520,000 ","3 bedroom end of terrace house for sale, - "
"Sutton Common Road, Sutton","*NEW BUILD PROPERTY* Newly available to the market is this wonderful  bespoke executive semi-detached property. The house is arranged over three floors and offers a large reception room, guest W.C. (contd...)",01322 584819,"£300,000 ","2 bedroom apartment for sale, - "
"Colburn Way, Sutton, Surrey",VIRTUAL TOUR & PROPERTY VIDEO AVAILABLEAn extremely rare opportunity to purchase an exceptional residence which has been in the same family ownership for 56 years.The house is prominently situated on one of Hampstead's most sought after streets and benefits from an exceptional plot 0.77 of an...,020 8033 2639,"£545,000 ","4 bedroom semi-detached house for sale, - "
Heron Hill Belvedere DA17,"Introducing Oval Village, a brand new collection of studio, one, two and three-bedroom apartments ideally located...",020 3641 1268,"£275,000 ","2 bedroom maisonette for sale, - "
"Edrick Walk, Edgware",John Payne are delighted to welcome to the market this charming five bedroom semi-detached house.,01322 584768,"£250,000 ","1 bedroom flat for sale, - "
"Wardian, London","An exceptional six bedroom contemporary detached residence forming part of a luxury gated development  An exceptional contemporary detached residence, forming part of a luxury development situated in one of Hampstead's most desirable locations close to Hampstead Heath. You enter the development...",020 8022 0021,"£2,100,000 ","2 bedroom flat for sale, - "
"Heather Way, Rise Park, Essex, RM1","A very well presented one bedroom flat in a Victorian conversion building  There is a double bedroom with fitted storage, semi open plan kitchen/reception, bathroom and west-facing roof terrace.  Cranley Gardens is a prime address located moments from the shops, restaurants and amenities of both...",020 8115 0721,"£525,000 ,Guide price","5 bedroom end of terrace house for sale, - "
"Chatsworth Gardens, New Malden","Discover classical London living at Royal Warwick Square, with a prestigious collection of 1,2 & 3 bedroom apartments and penthouses...",020 3641 4833,"£760,000 ","4 bedroom end of terrace house for sale, - "
"Watersedge, Epsom, Surrey","An exceptional newly-refurbished duplex maisonette apartment, presented in a meticulously stylish design throughout.  The property offers 1,000 sq. ft. of bright and spacious accommodation, comprising of a brand new dine-in kitchen, reception/ living room, two bedrooms, two bathrooms with a...",020 8022 7100,"£385,000 ,Offers in excess of","3 bedroom terraced house for sale, - "
"Waverton House, Bow E3","Attractive 2 bedroom Victorian terraced house in need of some modernisation,  The property does have the benefit of gas central heating and double glazing. OFFERED FOR SALE IN A CHAIN FREE POSITION. EARLY VIEWING HIGHLY RECOMMENDED.",020 3544 8034,"£300,000 ,Offers in excess of","2 bedroom flat for sale, - "
"Lawn Close, New Malden",*COMING SOON*A stylish and contemporary 1 bedroom apartment spread across approximately 612 sq ft of open-plan living space with lovely East facing views of the Walthamstow Wetlands and the City of London.,020 8033 9914,"£372,000 ","2 bedroom maisonette for sale, - "
"Percy Road, Old Isleworth","3 bedroom period flat with off street parking and private garden, TW1.  Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you.  These include video walkthroughs, 360 virtual...",020 8033 5519,"£775,000 ","4 bedroom terraced house for sale, - "
"Hillcrest Avenue, Edgware, Middlesex, HA8 8NZ","A brand new development by St George, in the heart of historic Kingston upon Thames. High specification 1, 2 and 3 bedroom apartments...",020 8115 0039,"£860,000 ","4 bedroom detached house for sale, - "
"Beckenham Grove, Shortlands, Bromley, BR2","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021,"£265,000 ","1 bedroom apartment for sale, - "
"St. Albans Road, Sutton","A stylish, immaculately presented 4 bedroom mews house located in the prestigious Kingston Hill Place development. The bright spacious accomodation is arranged over four floors and offers excellent family living space. The property benefits from landscaped communal grounds and a leisure complex.",020 8115 1011,"£525,000 ","4 bedroom semi-detached house for sale, - "
"The Crescent, SW19","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6866,"£1,395,000 ","4 bedroom terraced house for sale, - "
"Forest Road, Leytonstone, E11","This second floor, one-bedroom apartment features an open plan living/dining area with access to a south facing balcony, overlooking the main piazza. The kitchen comes with fully integrated appliances and matching worktops. Further benefits a large storage cupboard.  High Street Quarter Hounslow...",020 8022 6875,"£650,000 ","3 bedroom bungalow for sale, - "
Pelton Road London SE10,"We’ve unveiled two new furnished penthouses. Take a virtual tour on our website today to experience what Blackwall Reach has to offer.Stamp duty incentives available. Please get in touch for more details.The Penthouse Collection gives you stunning, open-plan luxury living and views of London that...",020 8022 0708,"£550,000 ,Offers in excess of","2 bedroom terraced house for sale, - "
"Cockfosters Road, Cockfosters, EN4","VIRTUAL VIEWING AVAILABLE

Extremely spacious, three bedroom, Victorian family home arranged over three floors and welcomed to the market in beautiful order throughout.


Energy Efficiency Rating D.",020 8033 0230,"£600,000 ,Offers in excess of","2 bedroom apartment for sale, - "
"Granville Place, Pinner",Luxury three bedroom apartment in the region of 1150 sq ft ideally located for local amenities and transport links.,020 8033 5491,"£310,000 ,Guide price","1 bedroom flat for sale, - "
"Highgate Road, Dartmouth Park, London NW5","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£635,000 ","2 bedroom flat for sale, - "
